Season,Date,LeftTeam,LeftScore,RightScore,RightTeam,Overtime,Left_B2B,Right_B2B,Left_EWMA_7,Right_EWMA_7,Left_EWMA_28,Right_EWMA_28
2004-2005,2004-11-02,Detroit Pistons,87,79,Houston Rockets,0OT,0,0,0.0,0.0,0.0,0.0
2004-2005,2004-11-02,Dallas Mavericks,107,98,Sacramento Kings,0OT,0,0,0.0,0.0,0.0,0.0
2004-2005,2004-11-02,Los Angeles Lakers,89,78,Denver Nuggets,0OT,0,0,0.0,0.0,0.0,0.0
2004-2005,2004-11-03,Cleveland Cavaliers,104,109,Indiana Pacers,2OT,0,0,0.0,0.0,0.0,0.0
2004-2005,2004-11-03,Orlando Magic,93,92,Milwaukee Bucks,0OT,0,0,0.0,0.0,0.0,0.0
2004-2005,2004-11-03,Toronto Raptors,95,88,Houston Rockets,0OT,0,1,0.0,12.0,0.0,3.310344827586207
2004-2005,2004-11-03,Boston Celtics,95,98,Philadelphia 76ers,0OT,0,0,0.0,0.0,0.0,0.0
2004-2005,2004-11-03,Memphis Grizzlies,91,103,Washington Wizards,0OT,0,0,0.0,0.0,0.0,0.0
2004-2005,2004-11-03,Minnesota Timberwolves,99,93,New York Knicks,0OT,0,0,0.0,0.0,0.0,0.0
2004-2005,2004-11-03,Brooklyn Nets,77,100,Miami Heat,0OT,0,0,0.0,0.0,0.0,0.0
2004-2005,2004-11-03,New Orleans Pelicans,91,106,Dallas Mavericks,0OT,0,1,0.0,12.0,0.0,3.310344827586207
2004-2005,2004-11-03,San Antonio Spurs,101,85,Sacramento Kings,0OT,0,1,0.0,12.0,0.0,3.310344827586207
2004-2005,2004-11-03,Phoenix Suns,112,82,Atlanta Hawks,0OT,0,0,0.0,0.0,0.0,0.0
2004-2005,2004-11-03,Golden State Warriors,75,78,Portland Trail Blazers,0OT,0,0,0.0,0.0,0.0,0.0
2004-2005,2004-11-03,Los Angeles Clippers,114,84,Oklahoma City Thunder,0OT,0,0,0.0,0.0,0.0,0.0
2004-2005,2004-11-03,Utah Jazz,104,78,Los Angeles Lakers,0OT,0,1,0.0,12.0,0.0,3.310344827586207
2004-2005,2004-11-04,Charlotte Hornets,96,103,Washington Wizards,0OT,0,1,0.0,12.0,0.0,3.310344827586207
2004-2005,2004-11-04,Miami Heat,92,86,Cleveland Cavaliers,0OT,1,1,12.0,14.5,3.310344827586207,4.0
2004-2005,2004-11-04,Denver Nuggets,94,92,Minnesota Timberwolves,1OT,0,1,9.0,12.0,3.082045184304399,3.310344827586207
2004-2005,2004-11-05,Philadelphia 76ers,98,108,Phoenix Suns,0OT,0,0,9.0,9.0,3.082045184304399,3.082045184304399
2004-2005,2004-11-05,Toronto Raptors,101,89,Detroit Pistons,0OT,0,0,9.0,6.75,3.082045184304399,2.869490344007544
2004-2005,2004-11-05,Boston Celtics,94,100,Indiana Pacers,0OT,0,0,9.0,10.875,3.082045184304399,3.7241379310344827
2004-2005,2004-11-05,Memphis Grizzlies,81,89,Houston Rockets,0OT,0,0,9.0,15.75,3.082045184304399,5.951535528311944
